Extinction, scattering, and absorption properties computed for the
carbonaceous - silicate dust model of Weingartner & Draine (2001) and
Li & Draine (2001).

Model consists of mixture of carbonaceous grains, and amorphous
silicate grains.  Carbonaceous grains are PAH-like when small, and
graphite-like when large (see Li & Draine 2001).  Size distributions
from Weingartner & Draine (2001).  PAH optical properties are from Li
& Draine (2001).  Graphite and silicate optical properties from Draine
& Lee (1984), Laor & Draine (1993), Weingartner & Draine (2001), and
Li & Draine (2001).

Grain size distribution: Weingartner & Draine (2001) model B for
R_V=5.5 galactic dust with C/H = b_C = 30.e-6 in two log-normal size
distributions.

The PAH/graphitic grains in the log-normal size distributions are
assumed to be 50% neutral and 50% ionized.  The PAH/graphitic grains
in the size distribution given by eq. (5,6) of Weingartner & Draine
(2001) are assumed to be 100% ionized.

Calculated by B.T. Draine, Princeton University, 2001.07.05

References:
Draine, B.T., & Lee, H.-M. 1984, "Optical Properties of Interstellar
    Graphite and Silicate Grains", Astrophys. J., 285, 89-108
Laor, A., & Draine, B.T. 1993, "Spectroscopic Constraints on the Properties
    of Dust in Active Galactic Nuclei", Astrophys. J., 402, 441-468
Li, A., & Draine, B.T. 2001, "Infrared Emission from Interstellar Dust. II.
    The Diffuse Interstellar Medium", Astrophys. J., 554, 778-802
Weingartner, J.C., & Draine, B.T. 2001, "Dust Grain-Size Distributions and 
    Extinction in the Milky Way, LMC, and SMC", Astrophys. J., 548, 296-309

Tabulated quantities:
lambda  = wavelength in vacuo (micron) [2401 values from 1.e-2 to 1.e4 um]
albedo  = (scattering cross section)/(extinction cross section)
g       = <cos(theta)> for scattered light
C_ext/H = extinction cross section per H nucleon (cm^2/H)
K_abs   = absorption cross section per mass of dust (cm^2/gram)

 lambda   albedo    g     C_ext/H    K_abs
(micron)                  (cm^2/H)  (cm^2/g)
--------- ------  ------ --------- ---------
1.000E-02 0.5156  0.9962 4.195E-22 1.130E+04
1.006E-02 0.5145  0.9962 4.196E-22 1.133E+04
1.012E-02 0.5135  0.9961 4.197E-22 1.135E+04
1.017E-02 0.5124  0.9961 4.198E-22 1.138E+04
1.023E-02 0.5113  0.9960 4.199E-22 1.141E+04
1.029E-02 0.5102  0.9960 4.199E-22 1.144E+04
1.035E-02 0.5089  0.9960 4.199E-22 1.147E+04
1.041E-02 0.5072  0.9959 4.195E-22 1.150E+04
1.047E-02 0.5054  0.9959 4.191E-22 1.153E+04
1.053E-02 0.5023  0.9959 4.178E-22 1.156E+04
1.059E-02 0.4957  0.9959 4.142E-22 1.161E+04
1.065E-02 0.4948  0.9959 4.144E-22 1.164E+04
1.072E-02 0.5070  0.9962 4.083E-22 1.119E+04
1.078E-02 0.5061  0.9961 4.086E-22 1.122E+04
1.084E-02 0.5127  0.9960 4.143E-22 1.123E+04
1.090E-02 0.5160  0.9958 4.177E-22 1.124E+04
1.096E-02 0.5166  0.9957 4.191E-22 1.126E+04
1.103E-02 0.5170  0.9956 4.204E-22 1.129E+04
1.109E-02 0.5173  0.9955 4.216E-22 1.131E+04
1.116E-02 0.5176  0.9954 4.227E-22 1.134E+04
1.122E-02 0.5177  0.9953 4.237E-22 1.136E+04
1.128E-02 0.5177  0.9952 4.247E-22 1.139E+04
1.135E-02 0.5177  0.9952 4.256E-22 1.141E+04
1.142E-02 0.5175  0.9951 4.265E-22 1.144E+04
1.148E-02 0.5173  0.9950 4.273E-22 1.147E+04
1.155E-02 0.5171  0.9949 4.280E-22 1.149E+04
1.161E-02 0.5168  0.9948 4.288E-22 1.152E+04
1.168E-02 0.5164  0.9947 4.294E-22 1.155E+04
1.175E-02 0.5159  0.9946 4.301E-22 1.158E+04
1.182E-02 0.5155  0.9945 4.306E-22 1.160E+04
1.189E-02 0.5149  0.9944 4.312E-22 1.163E+04
1.195E-02 0.5143  0.9943 4.317E-22 1.166E+04
1.202E-02 0.5137  0.9942 4.322E-22 1.169E+04
1.209E-02 0.5131  0.9942 4.326E-22 1.171E+04
1.216E-02 0.5124  0.9941 4.331E-22 1.174E+04
1.223E-02 0.5117  0.9940 4.335E-22 1.177E+04
1.230E-02 0.5109  0.9939 4.338E-22 1.180E+04
1.237E-02 0.5101  0.9938 4.342E-22 1.183E+04
1.245E-02 0.5093  0.9937 4.345E-22 1.186E+04
1.252E-02 0.5084  0.9936 4.348E-22 1.189E+04
1.259E-02 0.5075  0.9936 4.351E-22 1.192E+04
1.266E-02 0.5065  0.9935 4.353E-22 1.195E+04
1.274E-02 0.5055  0.9934 4.356E-22 1.198E+04
1.281E-02 0.5017  0.9934 4.339E-22 1.202E+04
1.288E-02 0.5065  0.9933 4.359E-22 1.196E+04
1.296E-02 0.5063  0.9932 4.367E-22 1.199E+04
1.303E-02 0.5063  0.9930 4.375E-22 1.201E+04
1.311E-02 0.5058  0.9929 4.381E-22 1.204E+04
1.318E-02 0.5050  0.9928 4.385E-22 1.207E+04
1.326E-02 0.5040  0.9927 4.388E-22 1.210E+04
1.334E-02 0.5028  0.9927 4.389E-22 1.213E+04
1.341E-02 0.5024  0.9925 4.395E-22 1.216E+04
1.349E-02 0.5050  0.9925 4.396E-22 1.210E+04
1.357E-02 0.5050  0.9924 4.406E-22 1.213E+04
1.365E-02 0.5050  0.9922 4.415E-22 1.215E+04
1.372E-02 0.5050  0.9921 4.424E-22 1.218E+04
1.380E-02 0.5048  0.9919 4.432E-22 1.221E+04
1.388E-02 0.5044  0.9918 4.439E-22 1.223E+04
1.396E-02 0.5040  0.9917 4.446E-22 1.226E+04
1.404E-02 0.5036  0.9915 4.453E-22 1.229E+04
1.413E-02 0.5032  0.9914 4.459E-22 1.232E+04
1.421E-02 0.5028  0.9912 4.466E-22 1.235E+04
1.429E-02 0.5024  0.9911 4.472E-22 1.238E+04
1.437E-02 0.5019  0.9910 4.479E-22 1.241E+04
1.445E-02 0.5014  0.9908 4.485E-22 1.243E+04
1.454E-02 0.5010  0.9907 4.492E-22 1.246E+04
1.462E-02 0.5005  0.9905 4.498E-22 1.249E+04
1.471E-02 0.5000  0.9904 4.504E-22 1.252E+04
1.479E-02 0.4995  0.9902 4.510E-22 1.255E+04
1.488E-02 0.4990  0.9901 4.516E-22 1.258E+04
1.496E-02 0.4985  0.9900 4.523E-22 1.261E+04
1.505E-02 0.4979  0.9898 4.529E-22 1.264E+04
1.514E-02 0.4974  0.9896 4.535E-22 1.267E+04
1.522E-02 0.4969  0.9895 4.541E-22 1.271E+04
1.531E-02 0.4963  0.9893 4.547E-22 1.274E+04
1.540E-02 0.4958  0.9892 4.554E-22 1.277E+04
1.549E-02 0.4952  0.9890 4.560E-22 1.280E+04
1.558E-02 0.4947  0.9889 4.566E-22 1.283E+04
1.567E-02 0.4942  0.9887 4.572E-22 1.286E+04
1.576E-02 0.4936  0.9885 4.578E-22 1.289E+04
