Extinction, scattering, and absorption properties computed for the
carbonaceous - silicate dust model of Weingartner & Draine (2001) and
Li & Draine (2001).

Model consists of mixture of carbonaceous grains, and amorphous
silicate grains.  Carbonaceous grains are PAH-like when small, and
graphite-like when large (see Li & Draine 2001).  Size distributions
from Weingartner & Draine (2001).  PAH optical properties are from Li
& Draine (2001).  Graphite and silicate optical properties from Draine
& Lee (1984), Laor & Draine (1993), Weingartner & Draine (2001), and
Li & Draine (2001).

Grain size distribution: Weingartner & Draine (2001) model B for
R_V=5.5 galactic dust with C/H = b_C = 30.e-6 in two log-normal size
distributions.

The PAH/graphitic grains in the log-normal size distributions are
assumed to be 50% neutral and 50% ionized.  The PAH/graphitic grains
in the size distribution given by eq. (5,6) of Weingartner & Draine
(2001) are assumed to be 100% ionized.

Calculated by B.T. Draine, Princeton University, 2001.07.05

References:
Draine, B.T., & Lee, H.-M. 1984, "Optical Properties of Interstellar
    Graphite and Silicate Grains", Astrophys. J., 285, 89-108
Laor, A., & Draine, B.T. 1993, "Spectroscopic Constraints on the Properties
    of Dust in Active Galactic Nuclei", Astrophys. J., 402, 441-468
Li, A., & Draine, B.T. 2001, "Infrared Emission from Interstellar Dust. II.
    The Diffuse Interstellar Medium", Astrophys. J., 554, 778-802
Weingartner, J.C., & Draine, B.T. 2001, "Dust Grain-Size Distributions and 
    Extinction in the Milky Way, LMC, and SMC", Astrophys. J., 548, 296-309

Tabulated quantities:
lambda  = wavelength in vacuo (micron) [2401 values from 1.e-2 to 1.e4 um]
albedo  = (scattering cross section)/(extinction cross section)
g       = <cos(theta)> for scattered light
1.585E-02 0.4931  0.9884 4.585E-22 1.292E+04
1.594E-02 0.4925  0.9882 4.591E-22 1.296E+04
1.603E-02 0.4920  0.9880 4.597E-22 1.299E+04
1.613E-02 0.4914  0.9879 4.604E-22 1.302E+04
1.622E-02 0.4908  0.9877 4.610E-22 1.305E+04
1.631E-02 0.4902  0.9875 4.616E-22 1.309E+04
1.641E-02 0.4897  0.9873 4.623E-22 1.312E+04
1.650E-02 0.4891  0.9871 4.629E-22 1.315E+04
1.660E-02 0.4885  0.9870 4.636E-22 1.318E+04
1.669E-02 0.4880  0.9868 4.643E-22 1.322E+04
1.679E-02 0.4874  0.9866 4.649E-22 1.325E+04
1.688E-02 0.4868  0.9864 4.656E-22 1.329E+04
1.698E-02 0.4862  0.9862 4.662E-22 1.332E+04
1.708E-02 0.4856  0.9860 4.669E-22 1.336E+04
1.718E-02 0.4850  0.9858 4.676E-22 1.339E+04
1.728E-02 0.4843  0.9856 4.682E-22 1.343E+04
1.738E-02 0.4837  0.9854 4.689E-22 1.346E+04
1.748E-02 0.4830  0.9852 4.696E-22 1.350E+04
1.758E-02 0.4823  0.9850 4.702E-22 1.354E+04
1.768E-02 0.4816  0.9848 4.709E-22 1.357E+04
1.778E-02 0.4809  0.9846 4.715E-22 1.361E+04
1.789E-02 0.4801  0.9844 4.721E-22 1.365E+04
1.799E-02 0.4793  0.9843 4.727E-22 1.369E+04
1.809E-02 0.4784  0.9841 4.733E-22 1.373E+04
1.820E-02 0.4776  0.9839 4.739E-22 1.377E+04
1.830E-02 0.4767  0.9837 4.746E-22 1.381E+04
1.841E-02 0.4758  0.9835 4.752E-22 1.385E+04
1.851E-02 0.4749  0.9833 4.758E-22 1.389E+04
1.862E-02 0.4740  0.9831 4.764E-22 1.393E+04
1.873E-02 0.4730  0.9829 4.770E-22 1.398E+04
1.884E-02 0.4716  0.9827 4.774E-22 1.403E+04
1.895E-02 0.4696  0.9826 4.774E-22 1.408E+04
1.905E-02 0.4718  0.9828 4.760E-22 1.398E+04
1.916E-02 0.4718  0.9825 4.771E-22 1.401E+04
1.928E-02 0.4718  0.9822 4.782E-22 1.405E+04
1.939E-02 0.4717  0.9819 4.793E-22 1.408E+04
1.950E-02 0.4716  0.9816 4.805E-22 1.412E+04
1.961E-02 0.4715  0.9813 4.815E-22 1.415E+04
1.972E-02 0.4713  0.9810 4.826E-22 1.419E+04
1.984E-02 0.4711  0.9807 4.837E-22 1.423E+04
1.995E-02 0.4708  0.9804 4.847E-22 1.426E+04
2.007E-02 0.4705  0.9801 4.857E-22 1.430E+04
2.018E-02 0.4702  0.9798 4.867E-22 1.434E+04
2.030E-02 0.4698  0.9795 4.877E-22 1.438E+04
2.042E-02 0.4695  0.9792 4.887E-22 1.442E+04
2.054E-02 0.4691  0.9789 4.897E-22 1.446E+04
2.065E-02 0.4686  0.9786 4.906E-22 1.450E+04
2.077E-02 0.4681  0.9783 4.916E-22 1.454E+04
2.089E-02 0.4676  0.9780 4.926E-22 1.458E+04
2.101E-02 0.4671  0.9777 4.935E-22 1.463E+04
2.113E-02 0.4665  0.9774 4.945E-22 1.467E+04
2.126E-02 0.4659  0.9771 4.954E-22 1.471E+04
2.138E-02 0.4653  0.9768 4.964E-22 1.476E+04
2.150E-02 0.4647  0.9764 4.973E-22 1.480E+04
2.163E-02 0.4641  0.9761 4.983E-22 1.485E+04
2.175E-02 0.4635  0.9758 4.992E-22 1.489E+04
2.188E-02 0.4629  0.9755 5.002E-22 1.494E+04
2.200E-02 0.4622  0.9752 5.012E-22 1.499E+04
2.213E-02 0.4616  0.9749 5.021E-22 1.503E+04
2.226E-02 0.4609  0.9746 5.031E-22 1.508E+04
2.239E-02 0.4603  0.9742 5.041E-22 1.513E+04
2.252E-02 0.4595  0.9739 5.051E-22 1.518E+04
2.265E-02 0.4587  0.9736 5.060E-22 1.523E+04
2.278E-02 0.4577  0.9733 5.069E-22 1.528E+04
2.291E-02 0.4568  0.9730 5.078E-22 1.534E+04
2.304E-02 0.4573  0.9728 5.082E-22 1.533E+04
2.317E-02 0.4572  0.9724 5.095E-22 1.538E+04
2.331E-02 0.4569  0.9719 5.109E-22 1.543E+04
2.344E-02 0.4565  0.9715 5.122E-22 1.548E+04
2.358E-02 0.4560  0.9711 5.134E-22 1.553E+04
2.371E-02 0.4554  0.9707 5.146E-22 1.558E+04
2.385E-02 0.4548  0.9703 5.158E-22 1.564E+04
2.399E-02 0.4541  0.9699 5.169E-22 1.569E+04
2.413E-02 0.4535  0.9695 5.181E-22 1.575E+04
2.427E-02 0.4528  0.9691 5.193E-22 1.580E+04
2.441E-02 0.4521  0.9687 5.205E-22 1.586E+04
2.455E-02 0.4515  0.9683 5.217E-22 1.591E+04
2.469E-02 0.4508  0.9679 5.229E-22 1.597E+04
2.483E-02 0.4501  0.9675 5.242E-22 1.603E+04
2.497E-02 0.4493  0.9671 5.254E-22 1.609E+04
2.512E-02 0.4486  0.9667 5.266E-22 1.615E+04
2.526E-02 0.4479  0.9663 5.279E-22 1.621E+04
2.541E-02 0.4471  0.9659 5.291E-22 1.627E+04
2.556E-02 0.4464  0.9654 5.304E-22 1.633E+04
2.570E-02 0.4456  0.9650 5.316E-22 1.639E+04
2.585E-02 0.4449  0.9646 5.329E-22 1.645E+04
2.600E-02 0.4441  0.9642 5.341E-22 1.651E+04
2.615E-02 0.4433  0.9638 5.354E-22 1.657E+04
2.630E-02 0.4425  0.9633 5.367E-22 1.664E+04
2.645E-02 0.4418  0.9629 5.380E-22 1.670E+04
2.661E-02 0.4410  0.9625 5.393E-22 1.676E+04
2.676E-02 0.4402  0.9620 5.406E-22 1.683E+04
2.692E-02 0.4394  0.9616 5.419E-22 1.689E+04
2.707E-02 0.4386  0.9612 5.432E-22 1.696E+04
2.723E-02 0.4378  0.9607 5.445E-22 1.702E+04
2.738E-02 0.4370  0.9603 5.459E-22 1.709E+04
2.754E-02 0.4361  0.9599 5.472E-22 1.716E+04
2.770E-02 0.4353  0.9594 5.486E-22 1.722E+04
2.786E-02 0.4345  0.9590 5.499E-22 1.729E+04
2.802E-02 0.4337  0.9585 5.513E-22 1.736E+04
2.818E-02 0.4328  0.9581 5.527E-22 1.743E+04
2.835E-02 0.4320  0.9576 5.541E-22 1.750E+04
2.851E-02 0.4311  0.9571 5.555E-22 1.757E+04
2.867E-02 0.4303  0.9567 5.569E-22 1.764E+04
2.884E-02 0.4294  0.9562 5.584E-22 1.772E+04
2.901E-02 0.4286  0.9557 5.598E-22 1.779E+04
2.917E-02 0.4277  0.9553 5.613E-22 1.786E+04
2.934E-02 0.4268  0.9548 5.628E-22 1.794E+04
2.951E-02 0.4259  0.9543 5.642E-22 1.801E+04
2.968E-02 0.4250  0.9539 5.657E-22 1.809E+04
2.985E-02 0.4241  0.9534 5.673E-22 1.816E+04
3.003E-02 0.4232  0.9529 5.688E-22 1.824E+04
3.020E-02 0.4223  0.9524 5.703E-22 1.832E+04
3.037E-02 0.4214  0.9520 5.719E-22 1.840E+04
3.055E-02 0.4205  0.9515 5.734E-22 1.848E+04
3.073E-02 0.4196  0.9510 5.750E-22 1.856E+04
3.090E-02 0.4187  0.9505 5.765E-22 1.863E+04
3.108E-02 0.4178  0.9500 5.781E-22 1.871E+04
3.126E-02 0.4169  0.9495 5.797E-22 1.879E+04
3.144E-02 0.4160  0.9490 5.813E-22 1.888E+04
3.162E-02 0.4151  0.9485 5.829E-22 1.896E+04
3.181E-02 0.4142  0.9480 5.845E-22 1.904E+04
3.199E-02 0.4133  0.9475 5.861E-22 1.912E+04
3.217E-02 0.4124  0.9470 5.877E-22 1.921E+04
3.236E-02 0.4114  0.9465 5.894E-22 1.929E+04
3.255E-02 0.4105  0.9460 5.911E-22 1.937E+04
3.273E-02 0.4096  0.9455 5.927E-22 1.946E+04
3.292E-02 0.4087  0.9451 5.944E-22 1.954E+04
3.311E-02 0.4077  0.9446 5.960E-22 1.963E+04
3.330E-02 0.4068  0.9441 5.977E-22 1.972E+04
3.350E-02 0.4058  0.9436 5.994E-22 1.980E+04
3.369E-02 0.4049  0.9431 6.011E-22 1.989E+04
3.388E-02 0.4039  0.9426 6.028E-22 1.998E+04
3.408E-02 0.4030  0.9421 6.045E-22 2.007E+04
3.428E-02 0.4020  0.9416 6.062E-22 2.016E+04
3.447E-02 0.4011  0.9411 6.080E-22 2.025E+04
3.467E-02 0.4001  0.9406 6.097E-22 2.034E+04
3.487E-02 0.3992  0.9401 6.115E-22 2.043E+04
3.508E-02 0.3982  0.9396 6.132E-22 2.052E+04
3.528E-02 0.3972  0.9392 6.149E-22 2.061E+04
3.548E-02 0.3961  0.9388 6.168E-22 2.071E+04
3.569E-02 0.3947  0.9385 6.189E-22 2.083E+04
3.589E-02 0.3935  0.9382 6.206E-22 2.093E+04
3.610E-02 0.3926  0.9380 6.219E-22 2.101E+04
3.631E-02 0.3919  0.9377 6.229E-22 2.106E+04
3.652E-02 0.3918  0.9375 6.230E-22 2.107E+04
3.673E-02 0.3928  0.9373 6.213E-22 2.098E+04
3.694E-02 0.3940  0.9371 6.195E-22 2.088E+04
3.715E-02 0.3954  0.9368 6.176E-22 2.076E+04
3.737E-02 0.3970  0.9364 6.155E-22 2.064E+04
3.758E-02 0.3987  0.9360 6.133E-22 2.051E+04
3.780E-02 0.3998  0.9354 6.124E-22 2.044E+04
3.802E-02 0.4008  0.9347 6.118E-22 2.038E+04
3.824E-02 0.4017  0.9340 6.113E-22 2.034E+04
3.846E-02 0.4025  0.9332 6.111E-22 2.030E+04
3.868E-02 0.4033  0.9324 6.112E-22 2.028E+04
3.890E-02 0.4039  0.9315 6.114E-22 2.027E+04
3.913E-02 0.4044  0.9306 6.118E-22 2.026E+04
3.936E-02 0.4048  0.9297 6.123E-22 2.027E+04
3.958E-02 0.4051  0.9287 6.130E-22 2.028E+04
3.981E-02 0.4054  0.9278 6.138E-22 2.030E+04
4.004E-02 0.4055  0.9268 6.148E-22 2.032E+04
4.027E-02 0.4057  0.9258 6.159E-22 2.035E+04
4.050E-02 0.4057  0.9247 6.170E-22 2.039E+04
4.074E-02 0.4057  0.9237 6.183E-22 2.044E+04
4.097E-02 0.4055  0.9225 6.198E-22 2.049E+04
4.121E-02 0.4054  0.9214 6.214E-22 2.055E+04
4.145E-02 0.4053  0.9202 6.229E-22 2.060E+04
4.169E-02 0.4052  0.9189 6.246E-22 2.066E+04
4.193E-02 0.4050  0.9176 6.264E-22 2.073E+04
4.217E-02 0.4045  0.9162 6.286E-22 2.081E+04
4.241E-02 0.4040  0.9149 6.309E-22 2.091E+04
4.266E-02 0.4032  0.9136 6.335E-22 2.102E+04
4.290E-02 0.4019  0.9123 6.369E-22 2.118E+04
4.315E-02 0.4002  0.9110 6.407E-22 2.137E+04
4.340E-02 0.3985  0.9098 6.447E-22 2.156E+04
4.365E-02 0.3967  0.9086 6.487E-22 2.176E+04
4.390E-02 0.3949  0.9073 6.529E-22 2.197E+04
4.416E-02 0.3931  0.9061 6.571E-22 2.218E+04
4.441E-02 0.3916  0.9049 6.608E-22 2.235E+04
4.467E-02 0.3905  0.9036 6.640E-22 2.250E+04
4.493E-02 0.3893  0.9024 6.672E-22 2.266E+04
4.519E-02 0.3882  0.9012 6.705E-22 2.281E+04
4.545E-02 0.3870  0.8999 6.739E-22 2.297E+04
4.571E-02 0.3858  0.8987 6.774E-22 2.314E+04
4.597E-02 0.3844  0.8974 6.810E-22 2.331E+04
4.624E-02 0.3827  0.8961 6.855E-22 2.353E+04
4.651E-02 0.3810  0.8948 6.900E-22 2.375E+04
4.677E-02 0.3792  0.8935 6.946E-22 2.398E+04
4.704E-02 0.3774  0.8922 6.993E-22 2.421E+04
4.732E-02 0.3757  0.8909 7.041E-22 2.445E+04
4.759E-02 0.3739  0.8896 7.090E-22 2.469E+04
4.786E-02 0.3722  0.8882 7.137E-22 2.491E+04
4.814E-02 0.3707  0.8869 7.182E-22 2.513E+04
4.842E-02 0.3692  0.8856 7.228E-22 2.535E+04
4.870E-02 0.3677  0.8843 7.274E-22 2.557E+04
4.898E-02 0.3662  0.8829 7.321E-22 2.580E+04
4.926E-02 0.3647  0.8815 7.368E-22 2.603E+04
4.955E-02 0.3633  0.8801 7.416E-22 2.626E+04
4.983E-02 0.3618  0.8787 7.466E-22 2.650E+04
5.012E-02 0.3602  0.8773 7.517E-22 2.674E+04
5.041E-02 0.3587  0.8758 7.570E-22 2.699E+04
5.070E-02 0.3571  0.8743 7.624E-22 2.725E+04
5.099E-02 0.3556  0.8728 7.679E-22 2.752E+04
5.129E-02 0.3541  0.8712 7.736E-22 2.778E+04
5.158E-02 0.3525  0.8696 7.794E-22 2.806E+04
5.188E-02 0.3511  0.8679 7.852E-22 2.833E+04
5.218E-02 0.3496  0.8661 7.912E-22 2.861E+04
5.248E-02 0.3481  0.8643 7.974E-22 2.890E+04
5.278E-02 0.3466  0.8625 8.038E-22 2.920E+04
5.309E-02 0.3451  0.8606 8.105E-22 2.952E+04
5.339E-02 0.3435  0.8587 8.175E-22 2.984E+04
5.370E-02 0.3419  0.8567 8.246E-22 3.018E+04
5.401E-02 0.3400  0.8548 8.323E-22 3.054E+04
5.433E-02 0.3378  0.8530 8.408E-22 3.096E+04
5.464E-02 0.3357  0.8510 8.494E-22 3.138E+04
5.495E-02 0.3337  0.8489 8.582E-22 3.180E+04
5.527E-02 0.3318  0.8467 8.672E-22 3.222E+04
5.559E-02 0.3300  0.8444 8.764E-22 3.265E+04
5.591E-02 0.3283  0.8419 8.857E-22 3.308E+04
5.623E-02 0.3268  0.8393 8.952E-22 3.351E+04
5.656E-02 0.3262  0.8361 9.044E-22 3.389E+04
5.689E-02 0.3261  0.8324 9.134E-22 3.423E+04
5.721E-02 0.3260  0.8285 9.225E-22 3.457E+04
5.754E-02 0.3259  0.8246 9.316E-22 3.492E+04
5.788E-02 0.3258  0.8205 9.407E-22 3.527E+04
5.821E-02 0.3145  0.8278 9.686E-22 3.692E+04
5.855E-02 0.3106  0.8234 9.898E-22 3.794E+04
5.888E-02 0.3069  0.8190 1.011E-21 3.897E+04
5.922E-02 0.3030  0.8146 1.033E-21 4.002E+04
5.957E-02 0.2990  0.8105 1.055E-21 4.111E+04
5.991E-02 0.2950  0.8066 1.076E-21 4.219E+04
6.026E-02 0.2911  0.8028 1.098E-21 4.328E+04
6.060E-02 0.2873  0.7992 1.120E-21 4.437E+04
6.095E-02 0.2836  0.7957 1.141E-21 4.546E+04
6.131E-02 0.2800  0.7924 1.163E-21 4.655E+04
6.166E-02 0.2764  0.7892 1.184E-21 4.765E+04
6.202E-02 0.2730  0.7862 1.206E-21 4.874E+04
6.237E-02 0.2691  0.7843 1.227E-21 4.985E+04
6.273E-02 0.2653  0.7826 1.247E-21 5.095E+04
6.310E-02 0.2616  0.7811 1.268E-21 5.206E+04
6.346E-02 0.2580  0.7797 1.288E-21 5.316E+04
6.383E-02 0.2545  0.7784 1.309E-21 5.426E+04
6.419E-02 0.2510  0.7773 1.329E-21 5.536E+04
6.457E-02 0.2476  0.7762 1.349E-21 5.645E+04
6.494E-02 0.2443  0.7753 1.370E-21 5.755E+04
6.531E-02 0.2411  0.7744 1.390E-21 5.864E+04
6.569E-02 0.2380  0.7733 1.410E-21 5.973E+04
6.607E-02 0.2350  0.7723 1.430E-21 6.081E+04
6.645E-02 0.2321  0.7714 1.449E-21 6.189E+04
6.683E-02 0.2297  0.7705 1.466E-21 6.281E+04
6.722E-02 0.2269  0.7697 1.486E-21 6.388E+04
6.761E-02 0.2241  0.7689 1.506E-21 6.500E+04
6.800E-02 0.2212  0.7681 1.527E-21 6.613E+04
6.839E-02 0.2184  0.7674 1.548E-21 6.728E+04
6.879E-02 0.2157  0.7668 1.569E-21 6.842E+04
6.918E-02 0.2130  0.7662 1.589E-21 6.953E+04
6.958E-02 0.2106  0.7658 1.608E-21 7.058E+04
6.998E-02 0.2084  0.7654 1.625E-21 7.154E+04
7.039E-02 0.2064  0.7650 1.641E-21 7.239E+04
7.079E-02 0.2049  0.7646 1.653E-21 7.310E+04
7.120E-02 0.2037  0.7643 1.663E-21 7.363E+04
7.161E-02 0.2029  0.7640 1.669E-21 7.397E+04
7.203E-02 0.2026  0.7637 1.671E-21 7.410E+04
7.244E-02 0.2028  0.7635 1.669E-21 7.401E+04
7.286E-02 0.2034  0.7633 1.664E-21 7.370E+04
7.328E-02 0.2086  0.7533 1.662E-21 7.314E+04
7.371E-02 0.2098  0.7541 1.649E-21 7.245E+04
7.413E-02 0.2113  0.7548 1.632E-21 7.159E+04
7.456E-02 0.2132  0.7556 1.613E-21 7.058E+04
7.499E-02 0.2154  0.7563 1.592E-21 6.946E+04
7.542E-02 0.2178  0.7571 1.569E-21 6.826E+04
7.586E-02 0.2205  0.7580 1.546E-21 6.700E+04
7.630E-02 0.2233  0.7589 1.521E-21 6.571E+04
7.674E-02 0.2262  0.7598 1.497E-21 6.441E+04
7.718E-02 0.2291  0.7608 1.472E-21 6.312E+04
7.762E-02 0.2322  0.7616 1.448E-21 6.185E+04
7.807E-02 0.2354  0.7620 1.426E-21 6.061E+04
7.852E-02 0.2387  0.7624 1.404E-21 5.942E+04
7.898E-02 0.2419  0.7628 1.382E-21 5.827E+04
7.943E-02 0.2450  0.7633 1.362E-21 5.717E+04
7.989E-02 0.2481  0.7638 1.342E-21 5.611E+04
8.035E-02 0.2511  0.7643 1.323E-21 5.511E+04
8.082E-02 0.2539  0.7648 1.305E-21 5.416E+04
8.128E-02 0.2567  0.7654 1.288E-21 5.325E+04
8.175E-02 0.2594  0.7659 1.272E-21 5.240E+04
8.222E-02 0.2620  0.7665 1.257E-21 5.158E+04
8.270E-02 0.2644  0.7671 1.242E-21 5.081E+04
8.318E-02 0.2668  0.7679 1.228E-21 5.009E+04
8.366E-02 0.2690  0.7686 1.215E-21 4.940E+04
8.414E-02 0.2711  0.7693 1.203E-21 4.875E+04
8.463E-02 0.2732  0.7700 1.191E-21 4.813E+04
8.511E-02 0.2751  0.7706 1.180E-21 4.755E+04
8.561E-02 0.2770  0.7712 1.169E-21 4.699E+04
8.610E-02 0.2789  0.7718 1.159E-21 4.647E+04
8.660E-02 0.2806  0.7724 1.149E-21 4.597E+04
8.710E-02 0.2823  0.7729 1.140E-21 4.549E+04
8.760E-02 0.2839  0.7734 1.131E-21 4.503E+04
8.810E-02 0.2855  0.7738 1.122E-21 4.459E+04
8.861E-02 0.2872  0.7740 1.115E-21 4.418E+04
8.913E-02 0.2894  0.7726 1.108E-21 4.379E+04
8.964E-02 0.2917  0.7710 1.103E-21 4.342E+04
9.016E-02 0.2940  0.7692 1.097E-21 4.307E+04
9.068E-02 0.2965  0.7672 1.092E-21 4.273E+04
9.120E-02 0.2989  0.7651 1.087E-21 4.240E+04
9.173E-02 0.3009  0.7639 1.082E-21 4.207E+04
9.226E-02 0.3028  0.7628 1.077E-21 4.175E+04
9.279E-02 0.3046  0.7619 1.072E-21 4.144E+04
9.333E-02 0.3063  0.7610 1.067E-21 4.114E+04
9.386E-02 0.3081  0.7601 1.062E-21 4.084E+04
9.441E-02 0.3097  0.7593 1.057E-21 4.055E+04
9.495E-02 0.3114  0.7586 1.052E-21 4.027E+04
9.550E-02 0.3129  0.7580 1.046E-21 3.998E+04
9.605E-02 0.3145  0.7575 1.041E-21 3.969E+04
9.661E-02 0.3159  0.7572 1.036E-21 3.941E+04
