Extinction, scattering, and absorption properties computed for the
carbonaceous - silicate dust model of Weingartner & Draine (2001) and
Li & Draine (2001).

Model consists of mixture of carbonaceous grains, and amorphous
silicate grains.  Carbonaceous grains are PAH-like when small, and
graphite-like when large (see Li & Draine 2001).  Size distributions
from Weingartner & Draine (2001).  PAH optical properties are from Li
& Draine (2001).  Graphite and silicate optical properties from Draine
& Lee (1984), Laor & Draine (1993), Weingartner & Draine (2001), and
Li & Draine (2001).

Grain size distribution: Weingartner & Draine (2001) model B for
R_V=4.0 galactic dust with C/H = b_C = 40.e-6 in two log-normal size
distributions.

The PAH/graphitic grains in the log-normal size distributions are
assumed to be 50% neutral and 50% ionized.  The PAH/graphitic grains
in the size distribution given by eq. (5,6) of Weingartner & Draine
(2001) are assumed to be 100% ionized.

Calculated by B.T. Draine, Princeton University, 2001.07.05

References:
Draine, B.T., & Lee, H.-M. 1984, "Optical Properties of Interstellar
    Graphite and Silicate Grains", Astrophys. J., 285, 89-108
Laor, A., & Draine, B.T. 1993, "Spectroscopic Constraints on the Properties
    of Dust in Active Galactic Nuclei", Astrophys. J., 402, 441-468
Li, A., & Draine, B.T. 2001, "Infrared Emission from Interstellar Dust. II.
    The Diffuse Interstellar Medium", Astrophys. J., 554, 778-802
Weingartner, J.C., & Draine, B.T. 2001, "Dust Grain-Size Distributions and 
    Extinction in the Milky Way, LMC, and SMC", Astrophys. J., 548, 296-309

Tabulated quantities:
lambda  = wavelength in vacuo (micron) [2401 values from 1.e-2 to 1.e4 um]
albedo  = (scattering cross section)/(extinction cross section)
g       = <cos(theta)> for scattered light
C_ext/H = extinction cross section per H nucleon (cm^2/H)
K_abs   = absorption cross section per mass of dust (cm^2/gram)

 lambda   albedo    g     C_ext/H    K_abs
(micron)                  (cm^2/H)  (cm^2/g)
--------- ------  ------ --------- ---------
1.522E-02 0.4740  0.9853 5.920E-22 1.732E+04
1.531E-02 0.4733  0.9851 5.933E-22 1.738E+04
1.540E-02 0.4727  0.9849 5.946E-22 1.744E+04
1.549E-02 0.4720  0.9846 5.958E-22 1.749E+04
1.558E-02 0.4714  0.9844 5.971E-22 1.755E+04
1.567E-02 0.4707  0.9842 5.983E-22 1.761E+04
1.576E-02 0.4701  0.9840 5.996E-22 1.767E+04
1.585E-02 0.4694  0.9837 6.009E-22 1.773E+04
1.594E-02 0.4687  0.9835 6.021E-22 1.779E+04
1.603E-02 0.4680  0.9833 6.034E-22 1.785E+04
1.613E-02 0.4673  0.9831 6.047E-22 1.791E+04
1.622E-02 0.4666  0.9828 6.060E-22 1.797E+04
1.631E-02 0.4659  0.9826 6.072E-22 1.803E+04
1.641E-02 0.4652  0.9823 6.085E-22 1.810E+04
1.650E-02 0.4645  0.9821 6.098E-22 1.816E+04
1.660E-02 0.4639  0.9818 6.111E-22 1.822E+04
1.669E-02 0.4632  0.9816 6.124E-22 1.828E+04
1.679E-02 0.4625  0.9813 6.137E-22 1.835E+04
1.688E-02 0.4618  0.9811 6.150E-22 1.841E+04
1.698E-02 0.4610  0.9808 6.163E-22 1.847E+04
1.708E-02 0.4603  0.9806 6.176E-22 1.854E+04
1.718E-02 0.4595  0.9803 6.190E-22 1.860E+04
1.728E-02 0.4587  0.9800 6.203E-22 1.867E+04
1.738E-02 0.4579  0.9798 6.216E-22 1.874E+04
1.748E-02 0.4571  0.9795 6.229E-22 1.880E+04
1.758E-02 0.4563  0.9792 6.242E-22 1.887E+04
1.768E-02 0.4555  0.9789 6.255E-22 1.894E+04
1.778E-02 0.4546  0.9787 6.267E-22 1.901E+04
1.789E-02 0.4536  0.9784 6.279E-22 1.908E+04
1.799E-02 0.4527  0.9781 6.291E-22 1.915E+04
1.809E-02 0.4517  0.9779 6.304E-22 1.922E+04
1.820E-02 0.4506  0.9776 6.316E-22 1.930E+04
1.830E-02 0.4496  0.9773 6.328E-22 1.937E+04
1.841E-02 0.4485  0.9770 6.340E-22 1.944E+04
1.851E-02 0.4474  0.9768 6.352E-22 1.952E+04
1.862E-02 0.4463  0.9765 6.364E-22 1.960E+04
1.873E-02 0.4452  0.9762 6.376E-22 1.967E+04
1.884E-02 0.4436  0.9760 6.385E-22 1.976E+04
1.895E-02 0.4413  0.9758 6.388E-22 1.985E+04
1.905E-02 0.4446  0.9761 6.333E-22 1.956E+04
1.916E-02 0.4445  0.9757 6.352E-22 1.962E+04
1.928E-02 0.4445  0.9753 6.372E-22 1.969E+04
1.939E-02 0.4444  0.9749 6.392E-22 1.975E+04
1.950E-02 0.4443  0.9745 6.412E-22 1.982E+04
1.961E-02 0.4441  0.9741 6.431E-22 1.988E+04
1.972E-02 0.4438  0.9737 6.450E-22 1.995E+04
1.984E-02 0.4435  0.9733 6.469E-22 2.002E+04
1.995E-02 0.4432  0.9729 6.488E-22 2.009E+04
2.007E-02 0.4429  0.9725 6.506E-22 2.016E+04
2.018E-02 0.4425  0.9722 6.525E-22 2.023E+04
2.030E-02 0.4420  0.9718 6.542E-22 2.030E+04
2.042E-02 0.4416  0.9714 6.560E-22 2.037E+04
2.054E-02 0.4411  0.9710 6.578E-22 2.045E+04
2.065E-02 0.4405  0.9706 6.595E-22 2.052E+04
2.077E-02 0.4399  0.9702 6.612E-22 2.059E+04
2.089E-02 0.4393  0.9698 6.630E-22 2.067E+04
2.101E-02 0.4387  0.9693 6.647E-22 2.075E+04
2.113E-02 0.4380  0.9689 6.664E-22 2.083E+04
2.126E-02 0.4373  0.9685 6.681E-22 2.091E+04
2.138E-02 0.4366  0.9681 6.698E-22 2.099E+04
2.150E-02 0.4359  0.9677 6.715E-22 2.107E+04
2.163E-02 0.4352  0.9673 6.732E-22 2.115E+04
2.175E-02 0.4344  0.9669 6.749E-22 2.123E+04
2.188E-02 0.4337  0.9665 6.766E-22 2.131E+04
2.200E-02 0.4330  0.9660 6.784E-22 2.139E+04
2.213E-02 0.4322  0.9656 6.801E-22 2.147E+04
2.226E-02 0.4315  0.9652 6.818E-22 2.156E+04
2.239E-02 0.4307  0.9648 6.836E-22 2.164E+04
2.252E-02 0.4298  0.9643 6.853E-22 2.173E+04
