Extinction, scattering, and absorption properties computed for the
carbonaceous - silicate dust model of Weingartner & Draine (2001) and
Li & Draine (2001).

Model consists of mixture of carbonaceous grains, and amorphous
silicate grains.  Carbonaceous grains are PAH-like when small, and
graphite-like when large (see Li & Draine 2001).  Size distributions
from Weingartner & Draine (2001).  PAH optical properties are from Li
& Draine (2001).  Graphite and silicate optical properties from Draine
& Lee (1984), Laor & Draine (1993), Weingartner & Draine (2001), and
Li & Draine (2001).

Grain size distribution: Weingartner & Draine (2001) model B for
R_V=4.0 galactic dust with C/H = b_C = 40.e-6 in two log-normal size
distributions.

The PAH/graphitic grains in the log-normal size distributions are
assumed to be 50% neutral and 50% ionized.  The PAH/graphitic grains
in the size distribution given by eq. (5,6) of Weingartner & Draine
(2001) are assumed to be 100% ionized.

Calculated by B.T. Draine, Princeton University, 2001.07.05

References:
Draine, B.T., & Lee, H.-M. 1984, "Optical Properties of Interstellar
    Graphite and Silicate Grains", Astrophys. J., 285, 89-108
Laor, A., & Draine, B.T. 1993, "Spectroscopic Constraints on the Properties
    of Dust in Active Galactic Nuclei", Astrophys. J., 402, 441-468
Li, A., & Draine, B.T. 2001, "Infrared Emission from Interstellar Dust. II.
    The Diffuse Interstellar Medium", Astrophys. J., 554, 778-802
Weingartner, J.C., & Draine, B.T. 2001, "Dust Grain-Size Distributions and 
    Extinction in the Milky Way, LMC, and SMC", Astrophys. J., 548, 296-309

Tabulated quantities:
lambda  = wavelength in vacuo (micron) [2401 values from 1.e-2 to 1.e4 um]
albedo  = (scattering cross section)/(extinction cross section)
g       = <cos(theta)> for scattered light
C_ext/H = extinction cross section per H nucleon (cm^2/H)
K_abs   = absorption cross section per mass of dust (cm^2/gram)

 lambda   albedo    g     C_ext/H    K_abs
(micron)                  (cm^2/H)  (cm^2/g)
--------- ------  ------ --------- ---------
4.340E-02 0.3625  0.8795 9.231E-22 3.273E+04
4.365E-02 0.3609  0.8779 9.293E-22 3.303E+04
4.390E-02 0.3593  0.8763 9.357E-22 3.334E+04
4.416E-02 0.3576  0.8747 9.422E-22 3.366E+04
4.441E-02 0.3563  0.8731 9.479E-22 3.393E+04
4.467E-02 0.3553  0.8715 9.528E-22 3.416E+04
4.493E-02 0.3542  0.8699 9.579E-22 3.440E+04
4.519E-02 0.3532  0.8683 9.631E-22 3.464E+04
4.545E-02 0.3521  0.8667 9.683E-22 3.489E+04
4.571E-02 0.3510  0.8651 9.736E-22 3.514E+04
4.597E-02 0.3499  0.8635 9.793E-22 3.541E+04
4.624E-02 0.3483  0.8618 9.861E-22 3.574E+04
4.651E-02 0.3467  0.8602 9.930E-22 3.608E+04
4.677E-02 0.3451  0.8585 1.000E-21 3.642E+04
4.704E-02 0.3435  0.8569 1.007E-21 3.677E+04
4.732E-02 0.3419  0.8552 1.015E-21 3.713E+04
4.759E-02 0.3403  0.8535 1.022E-21 3.750E+04
4.786E-02 0.3388  0.8519 1.029E-21 3.784E+04
4.814E-02 0.3374  0.8502 1.036E-21 3.817E+04
4.842E-02 0.3360  0.8486 1.043E-21 3.851E+04
4.870E-02 0.3347  0.8469 1.050E-21 3.885E+04
4.898E-02 0.3333  0.8452 1.057E-21 3.919E+04
4.926E-02 0.3320  0.8435 1.064E-21 3.954E+04
4.955E-02 0.3307  0.8418 1.072E-21 3.989E+04
4.983E-02 0.3293  0.8401 1.079E-21 4.025E+04
5.012E-02 0.3279  0.8384 1.087E-21 4.063E+04
5.041E-02 0.3266  0.8366 1.095E-21 4.101E+04
5.070E-02 0.3252  0.8348 1.103E-21 4.140E+04
5.099E-02 0.3238  0.8329 1.112E-21 4.180E+04
5.129E-02 0.3225  0.8310 1.120E-21 4.221E+04
5.158E-02 0.3211  0.8291 1.129E-21 4.263E+04
5.188E-02 0.3198  0.8271 1.138E-21 4.304E+04
5.218E-02 0.3186  0.8250 1.147E-21 4.347E+04
5.248E-02 0.3173  0.8229 1.157E-21 4.391E+04
5.278E-02 0.3160  0.8208 1.166E-21 4.437E+04
5.309E-02 0.3147  0.8186 1.177E-21 4.484E+04
5.339E-02 0.3133  0.8164 1.187E-21 4.533E+04
5.370E-02 0.3119  0.8141 1.198E-21 4.584E+04
5.401E-02 0.3103  0.8119 1.210E-21 4.640E+04
5.433E-02 0.3083  0.8097 1.222E-21 4.702E+04
5.464E-02 0.3064  0.8075 1.235E-21 4.765E+04
5.495E-02 0.3047  0.8051 1.249E-21 4.829E+04
5.527E-02 0.3030  0.8027 1.262E-21 4.893E+04
5.559E-02 0.3015  0.8001 1.276E-21 4.958E+04
5.591E-02 0.3000  0.7974 1.291E-21 5.025E+04
5.623E-02 0.2987  0.7946 1.305E-21 5.092E+04
5.656E-02 0.2982  0.7913 1.319E-21 5.149E+04
5.689E-02 0.2983  0.7876 1.333E-21 5.203E+04
5.721E-02 0.2983  0.7838 1.347E-21 5.258E+04
5.754E-02 0.2982  0.7798 1.362E-21 5.314E+04
5.788E-02 0.2982  0.7758 1.376E-21 5.372E+04
5.821E-02 0.2862  0.7848 1.421E-21 5.641E+04
5.855E-02 0.2828  0.7804 1.453E-21 5.797E+04
5.888E-02 0.2795  0.7759 1.486E-21 5.955E+04
5.922E-02 0.2759  0.7714 1.520E-21 6.122E+04
5.957E-02 0.2721  0.7670 1.556E-21 6.299E+04
5.991E-02 0.2684  0.7627 1.592E-21 6.477E+04
6.026E-02 0.2647  0.7586 1.628E-21 6.657E+04
6.060E-02 0.2611  0.7546 1.664E-21 6.837E+04
6.095E-02 0.2576  0.7507 1.700E-21 7.019E+04
6.131E-02 0.2542  0.7469 1.736E-21 7.202E+04
6.166E-02 0.2509  0.7432 1.773E-21 7.386E+04
6.202E-02 0.2477  0.7396 1.810E-21 7.571E+04
6.237E-02 0.2442  0.7372 1.845E-21 7.753E+04
6.273E-02 0.2408  0.7348 1.879E-21 7.934E+04
6.310E-02 0.2375  0.7327 1.913E-21 8.114E+04
6.346E-02 0.2343  0.7306 1.947E-21 8.293E+04
6.383E-02 0.2311  0.7287 1.981E-21 8.471E+04
6.419E-02 0.2281  0.7269 2.015E-21 8.648E+04
6.457E-02 0.2251  0.7251 2.048E-21 8.823E+04
6.494E-02 0.2223  0.7235 2.080E-21 8.997E+04
6.531E-02 0.2195  0.7220 2.112E-21 9.169E+04
6.569E-02 0.2169  0.7203 2.144E-21 9.339E+04
6.607E-02 0.2144  0.7187 2.176E-21 9.507E+04
6.645E-02 0.2119  0.7171 2.207E-21 9.674E+04
6.683E-02 0.2099  0.7156 2.234E-21 9.817E+04
6.722E-02 0.2076  0.7142 2.265E-21 9.981E+04
6.761E-02 0.2052  0.7128 2.296E-21 1.015E+05
6.800E-02 0.2029  0.7115 2.328E-21 1.032E+05
6.839E-02 0.2005  0.7103 2.360E-21 1.049E+05
6.879E-02 0.1982  0.7091 2.391E-21 1.066E+05
6.918E-02 0.1960  0.7081 2.421E-21 1.082E+05
6.958E-02 0.1940  0.7072 2.450E-21 1.098E+05
6.998E-02 0.1921  0.7063 2.476E-21 1.112E+05
7.039E-02 0.1905  0.7055 2.499E-21 1.125E+05
7.079E-02 0.1892  0.7048 2.518E-21 1.135E+05
7.120E-02 0.1882  0.7040 2.532E-21 1.143E+05
7.161E-02 0.1876  0.7033 2.541E-21 1.148E+05
7.203E-02 0.1874  0.7027 2.545E-21 1.150E+05
7.244E-02 0.1875  0.7021 2.543E-21 1.149E+05
7.286E-02 0.1881  0.7015 2.536E-21 1.145E+05
7.328E-02 0.1930  0.6908 2.549E-21 1.144E+05
7.371E-02 0.1940  0.6912 2.528E-21 1.133E+05
7.413E-02 0.1954  0.6916 2.503E-21 1.120E+05
7.456E-02 0.1970  0.6920 2.474E-21 1.105E+05
7.499E-02 0.1989  0.6924 2.443E-21 1.088E+05
7.542E-02 0.2011  0.6929 2.409E-21 1.070E+05
7.586E-02 0.2034  0.6935 2.373E-21 1.051E+05
7.630E-02 0.2058  0.6941 2.336E-21 1.032E+05
7.674E-02 0.2082  0.6948 2.299E-21 1.012E+05
7.718E-02 0.2107  0.6955 2.262E-21 9.928E+04
7.762E-02 0.2133  0.6961 2.226E-21 9.737E+04
7.807E-02 0.2162  0.6961 2.192E-21 9.553E+04
7.852E-02 0.2191  0.6962 2.158E-21 9.374E+04
7.898E-02 0.2219  0.6963 2.126E-21 9.201E+04
7.943E-02 0.2246  0.6965 2.095E-21 9.034E+04
7.989E-02 0.2273  0.6967 2.065E-21 8.875E+04
8.035E-02 0.2299  0.6970 2.037E-21 8.722E+04
8.082E-02 0.2324  0.6973 2.009E-21 8.577E+04
8.128E-02 0.2348  0.6977 1.983E-21 8.439E+04
8.175E-02 0.2371  0.6981 1.958E-21 8.307E+04
8.222E-02 0.2394  0.6985 1.934E-21 8.182E+04
8.270E-02 0.2415  0.6990 1.911E-21 8.063E+04
8.318E-02 0.2433  0.6998 1.890E-21 7.953E+04
8.366E-02 0.2451  0.7005 1.869E-21 7.848E+04
8.414E-02 0.2468  0.7013 1.850E-21 7.750E+04
8.463E-02 0.2484  0.7021 1.832E-21 7.656E+04
8.511E-02 0.2499  0.7028 1.814E-21 7.568E+04
8.561E-02 0.2513  0.7035 1.797E-21 7.484E+04
8.610E-02 0.2527  0.7042 1.782E-21 7.404E+04
8.660E-02 0.2540  0.7049 1.766E-21 7.328E+04
8.710E-02 0.2552  0.7055 1.752E-21 7.256E+04
8.760E-02 0.2564  0.7061 1.738E-21 7.188E+04
8.810E-02 0.2575  0.7066 1.725E-21 7.123E+04
8.861E-02 0.2587  0.7069 1.713E-21 7.061E+04
8.913E-02 0.2607  0.7052 1.704E-21 7.006E+04
8.964E-02 0.2628  0.7034 1.696E-21 6.954E+04
9.016E-02 0.2649  0.7012 1.689E-21 6.904E+04
9.068E-02 0.2672  0.6989 1.682E-21 6.856E+04
9.120E-02 0.2694  0.6964 1.676E-21 6.810E+04
9.173E-02 0.2714  0.6949 1.668E-21 6.759E+04
9.226E-02 0.2732  0.6935 1.660E-21 6.707E+04
9.279E-02 0.2751  0.6923 1.651E-21 6.656E+04
9.333E-02 0.2769  0.6911 1.642E-21 6.605E+04
9.386E-02 0.2787  0.6898 1.634E-21 6.555E+04
9.441E-02 0.2804  0.6887 1.626E-21 6.506E+04
9.495E-02 0.2821  0.6878 1.617E-21 6.456E+04
9.550E-02 0.2837  0.6869 1.608E-21 6.407E+04
9.605E-02 0.2853  0.6862 1.599E-21 6.356E+04
9.661E-02 0.2868  0.6858 1.590E-21 6.306E+04
9.716E-02 0.2883  0.6855 1.580E-21 6.256E+04
9.772E-02 0.2896  0.6854 1.571E-21 6.206E+04
9.829E-02 0.2909  0.6856 1.561E-21 6.157E+04
9.886E-02 0.2920  0.6858 1.552E-21 6.110E+04
9.943E-02 0.2932  0.6861 1.543E-21 6.063E+04
1.000E-01 0.2947  0.6864 1.532E-21 6.007E+04
1.006E-01 0.2963  0.6864 1.521E-21 5.954E+04
1.012E-01 0.2980  0.6865 1.511E-21 5.900E+04
1.017E-01 0.2997  0.6865 1.501E-21 5.845E+04
1.023E-01 0.3014  0.6865 1.490E-21 5.790E+04
1.029E-01 0.3032  0.6867 1.479E-21 5.732E+04
1.035E-01 0.3051  0.6869 1.468E-21 5.674E+04
1.041E-01 0.3069  0.6873 1.457E-21 5.615E+04
1.047E-01 0.3088  0.6877 1.445E-21 5.555E+04
1.053E-01 0.3106  0.6883 1.433E-21 5.495E+04
1.059E-01 0.3124  0.6890 1.422E-21 5.436E+04
1.065E-01 0.3141  0.6900 1.410E-21 5.377E+04
1.072E-01 0.3156  0.6911 1.398E-21 5.320E+04
1.078E-01 0.3172  0.6924 1.386E-21 5.263E+04
1.084E-01 0.3185  0.6941 1.374E-21 5.207E+04
1.090E-01 0.3199  0.6956 1.362E-21 5.152E+04
1.096E-01 0.3213  0.6970 1.351E-21 5.099E+04
1.103E-01 0.3226  0.6984 1.340E-21 5.048E+04
1.109E-01 0.3240  0.6997 1.329E-21 4.998E+04
1.116E-01 0.3253  0.7014 1.319E-21 4.950E+04
1.122E-01 0.3266  0.7031 1.309E-21 4.903E+04
1.128E-01 0.3278  0.7048 1.299E-21 4.856E+04
1.135E-01 0.3291  0.7065 1.289E-21 4.810E+04
1.142E-01 0.3304  0.7083 1.279E-21 4.764E+04
1.148E-01 0.3318  0.7101 1.270E-21 4.719E+04
1.155E-01 0.3333  0.7112 1.260E-21 4.673E+04
1.161E-01 0.3349  0.7122 1.251E-21 4.628E+04
1.168E-01 0.3365  0.7131 1.242E-21 4.583E+04
1.175E-01 0.3381  0.7140 1.233E-21 4.539E+04
1.182E-01 0.3397  0.7148 1.224E-21 4.496E+04
1.189E-01 0.3414  0.7156 1.216E-21 4.452E+04
1.195E-01 0.3431  0.7163 1.207E-21 4.409E+04
1.202E-01 0.3449  0.7170 1.198E-21 4.366E+04
1.209E-01 0.3466  0.7177 1.190E-21 4.323E+04
1.216E-01 0.3484  0.7183 1.182E-21 4.281E+04
1.223E-01 0.3501  0.7189 1.173E-21 4.240E+04
1.230E-01 0.3519  0.7195 1.165E-21 4.199E+04
1.237E-01 0.3536  0.7201 1.157E-21 4.159E+04
1.245E-01 0.3554  0.7206 1.149E-21 4.120E+04
1.252E-01 0.3571  0.7212 1.141E-21 4.081E+04
1.259E-01 0.3587  0.7217 1.134E-21 4.043E+04
1.266E-01 0.3604  0.7222 1.126E-21 4.005E+04
1.274E-01 0.3620  0.7226 1.118E-21 3.968E+04
1.281E-01 0.3636  0.7231 1.111E-21 3.932E+04
1.288E-01 0.3651  0.7235 1.104E-21 3.897E+04
1.296E-01 0.3666  0.7240 1.097E-21 3.863E+04
1.303E-01 0.3691  0.7244 1.086E-21 3.811E+04
1.311E-01 0.3703  0.7247 1.080E-21 3.782E+04
1.318E-01 0.3714  0.7250 1.074E-21 3.754E+04
1.326E-01 0.3724  0.7253 1.068E-21 3.727E+04
1.334E-01 0.3734  0.7256 1.062E-21 3.701E+04
1.341E-01 0.3744  0.7258 1.056E-21 3.676E+04
1.349E-01 0.3753  0.7259 1.051E-21 3.651E+04
1.357E-01 0.3761  0.7260 1.046E-21 3.628E+04
1.365E-01 0.3769  0.7260 1.040E-21 3.605E+04
1.372E-01 0.3777  0.7259 1.035E-21 3.584E+04
1.380E-01 0.3784  0.7257 1.031E-21 3.563E+04
1.388E-01 0.3791  0.7255 1.026E-21 3.542E+04
1.396E-01 0.3798  0.7251 1.021E-21 3.523E+04
1.404E-01 0.3805  0.7247 1.017E-21 3.504E+04
1.413E-01 0.3812  0.7241 1.013E-21 3.485E+04
1.421E-01 0.3820  0.7234 1.009E-21 3.467E+04
1.429E-01 0.3828  0.7226 1.005E-21 3.449E+04
1.437E-01 0.3837  0.7218 1.001E-21 3.431E+04
1.445E-01 0.3846  0.7209 9.971E-22 3.412E+04
1.454E-01 0.3856  0.7201 9.933E-22 3.394E+04
1.462E-01 0.3865  0.7193 9.896E-22 3.377E+04
1.471E-01 0.3874  0.7186 9.861E-22 3.359E+04
1.479E-01 0.3883  0.7179 9.826E-22 3.342E+04
1.488E-01 0.3892  0.7172 9.793E-22 3.326E+04
1.496E-01 0.3903  0.7166 9.761E-22 3.310E+04
1.505E-01 0.3913  0.7159 9.730E-22 3.294E+04
1.514E-01 0.3924  0.7152 9.702E-22 3.278E+04
1.522E-01 0.3935  0.7145 9.675E-22 3.263E+04
1.531E-01 0.3947  0.7138 9.650E-22 3.248E+04
1.540E-01 0.3959  0.7130 9.626E-22 3.234E+04
1.549E-01 0.3971  0.7121 9.604E-22 3.220E+04
1.558E-01 0.3983  0.7113 9.584E-22 3.207E+04
1.567E-01 0.3996  0.7104 9.565E-22 3.194E+04
1.576E-01 0.4009  0.7094 9.548E-22 3.181E+04
1.585E-01 0.4023  0.7084 9.533E-22 3.169E+04
1.594E-01 0.4038  0.7073 9.520E-22 3.157E+04
1.603E-01 0.4053  0.7061 9.508E-22 3.145E+04
1.613E-01 0.4069  0.7047 9.500E-22 3.134E+04
1.622E-01 0.4086  0.7032 9.494E-22 3.123E+04
1.631E-01 0.4103  0.7016 9.491E-22 3.112E+04
1.641E-01 0.4122  0.6999 9.490E-22 3.102E+04
1.650E-01 0.4141  0.6981 9.491E-22 3.092E+04
1.660E-01 0.4160  0.6962 9.495E-22 3.084E+04
1.669E-01 0.4180  0.6942 9.501E-22 3.075E+04
1.679E-01 0.4200  0.6921 9.511E-22 3.068E+04
1.688E-01 0.4221  0.6899 9.523E-22 3.061E+04
1.698E-01 0.4242  0.6876 9.537E-22 3.054E+04
1.708E-01 0.4263  0.6853 9.554E-22 3.048E+04
1.718E-01 0.4284  0.6829 9.572E-22 3.043E+04
1.728E-01 0.4305  0.6804 9.593E-22 3.038E+04
1.738E-01 0.4327  0.6778 9.616E-22 3.034E+04
1.748E-01 0.4349  0.6752 9.642E-22 3.030E+04
1.758E-01 0.4371  0.6725 9.671E-22 3.027E+04
1.768E-01 0.4393  0.6697 9.703E-22 3.026E+04
1.778E-01 0.4413  0.6668 9.737E-22 3.025E+04
1.789E-01 0.4433  0.6639 9.774E-22 3.026E+04
1.799E-01 0.4453  0.6610 9.813E-22 3.027E+04
1.809E-01 0.4471  0.6580 9.855E-22 3.030E+04
1.820E-01 0.4489  0.6551 9.900E-22 3.034E+04
1.830E-01 0.4505  0.6523 9.950E-22 3.040E+04
1.841E-01 0.4520  0.6495 1.000E-21 3.049E+04
1.851E-01 0.4533  0.6467 1.007E-21 3.060E+04
1.862E-01 0.4543  0.6438 1.013E-21 3.075E+04
1.873E-01 0.4550  0.6408 1.020E-21 3.092E+04
1.884E-01 0.4555  0.6378 1.027E-21 3.110E+04
1.895E-01 0.4558  0.6350 1.035E-21 3.131E+04
1.905E-01 0.4560  0.6322 1.042E-21 3.154E+04
1.916E-01 0.4562  0.6294 1.051E-21 3.178E+04
1.928E-01 0.4562  0.6269 1.060E-21 3.206E+04
1.939E-01 0.4558  0.6243 1.070E-21 3.238E+04
1.950E-01 0.4552  0.6217 1.081E-21 3.276E+04
1.961E-01 0.4541  0.6189 1.093E-21 3.318E+04
1.972E-01 0.4528  0.6159 1.105E-21 3.363E+04
1.984E-01 0.4513  0.6129 1.117E-21 3.409E+04
1.995E-01 0.4497  0.6101 1.129E-21 3.456E+04
2.007E-01 0.4479  0.6076 1.142E-21 3.506E+04
2.018E-01 0.4460  0.6055 1.155E-21 3.557E+04
2.030E-01 0.4441  0.6037 1.168E-21 3.610E+04
2.042E-01 0.4422  0.6019 1.182E-21 3.665E+04
2.054E-01 0.4402  0.6001 1.196E-21 3.724E+04
2.065E-01 0.4381  0.5978 1.211E-21 3.783E+04
2.077E-01 0.4361  0.5953 1.225E-21 3.841E+04
2.089E-01 0.4342  0.5927 1.237E-21 3.893E+04
2.101E-01 0.4325  0.5904 1.248E-21 3.938E+04
2.113E-01 0.4314  0.5884 1.257E-21 3.976E+04
2.126E-01 0.4307  0.5867 1.265E-21 4.006E+04
2.138E-01 0.4306  0.5854 1.271E-21 4.026E+04
2.150E-01 0.4310  0.5844 1.276E-21 4.038E+04
2.163E-01 0.4321  0.5834 1.279E-21 4.041E+04
2.175E-01 0.4338  0.5820 1.281E-21 4.035E+04
2.188E-01 0.4360  0.5804 1.281E-21 4.017E+04
2.200E-01 0.4386  0.5786 1.277E-21 3.987E+04
2.213E-01 0.4416  0.5770 1.270E-21 3.945E+04
2.226E-01 0.4447  0.5760 1.260E-21 3.892E+04
2.239E-01 0.4482  0.5754 1.249E-21 3.832E+04
2.252E-01 0.4522  0.5750 1.236E-21 3.765E+04
2.265E-01 0.4567  0.5750 1.223E-21 3.694E+04
2.278E-01 0.4615  0.5751 1.208E-21 3.619E+04
2.291E-01 0.4667  0.5751 1.195E-21 3.543E+04
2.304E-01 0.4722  0.5747 1.181E-21 3.466E+04
2.317E-01 0.4779  0.5740 1.167E-21 3.389E+04
2.331E-01 0.4837  0.5730 1.153E-21 3.310E+04
2.344E-01 0.4894  0.5720 1.138E-21 3.231E+04
2.358E-01 0.4950  0.5711 1.123E-21 3.153E+04
2.371E-01 0.5005  0.5705 1.107E-21 3.075E+04
2.385E-01 0.5059  0.5701 1.092E-21 2.999E+04
2.399E-01 0.5113  0.5701 1.077E-21 2.926E+04
2.413E-01 0.5165  0.5703 1.062E-21 2.856E+04
2.427E-01 0.5216  0.5707 1.049E-21 2.791E+04
2.441E-01 0.5266  0.5710 1.037E-21 2.731E+04
2.455E-01 0.5313  0.5710 1.026E-21 2.675E+04
2.469E-01 0.5358  0.5707 1.016E-21 2.622E+04
2.483E-01 0.5400  0.5703 1.005E-21 2.572E+04
2.497E-01 0.5440  0.5699 9.952E-22 2.524E+04
2.512E-01 0.5476  0.5696 9.850E-22 2.478E+04
2.526E-01 0.5511  0.5694 9.749E-22 2.434E+04
2.541E-01 0.5544  0.5694 9.651E-22 2.392E+04
2.556E-01 0.5575  0.5697 9.557E-22 2.352E+04
2.570E-01 0.5606  0.5702 9.469E-22 2.314E+04
2.585E-01 0.5636  0.5707 9.389E-22 2.279E+04
2.600E-01 0.5664  0.5712 9.319E-22 2.247E+04
2.615E-01 0.5691  0.5714 9.255E-22 2.218E+04
2.630E-01 0.5717  0.5715 9.196E-22 2.190E+04
2.645E-01 0.5741  0.5713 9.138E-22 2.164E+04
2.661E-01 0.5764  0.5711 9.079E-22 2.139E+04
2.676E-01 0.5784  0.5709 9.018E-22 2.114E+04
2.692E-01 0.5804  0.5709 8.957E-22 2.090E+04
2.707E-01 0.5822  0.5710 8.896E-22 2.067E+04
2.723E-01 0.5841  0.5714 8.836E-22 2.044E+04
2.738E-01 0.5859  0.5720 8.779E-22 2.022E+04
2.754E-01 0.5876  0.5727 8.729E-22 2.002E+04
2.770E-01 0.5893  0.5734 8.686E-22 1.984E+04
2.786E-01 0.5908  0.5740 8.648E-22 1.968E+04
2.802E-01 0.5923  0.5743 8.614E-22 1.953E+04
2.818E-01 0.5937  0.5745 8.580E-22 1.939E+04
2.835E-01 0.5950  0.5746 8.545E-22 1.925E+04
2.851E-01 0.5963  0.5748 8.508E-22 1.910E+04
2.867E-01 0.5975  0.5749 8.469E-22 1.896E+04
2.884E-01 0.5987  0.5752 8.428E-22 1.881E+04
2.901E-01 0.5999  0.5756 8.387E-22 1.866E+04
2.917E-01 0.6012  0.5763 8.347E-22 1.851E+04
2.934E-01 0.6024  0.5771 8.311E-22 1.838E+04
2.951E-01 0.6037  0.5779 8.280E-22 1.825E+04
2.968E-01 0.6049  0.5786 8.253E-22 1.813E+04
2.985E-01 0.6061  0.5792 8.231E-22 1.803E+04
3.003E-01 0.6072  0.5795 8.210E-22 1.793E+04
3.020E-01 0.6083  0.5798 8.188E-22 1.783E+04
3.037E-01 0.6097  0.5799 8.160E-22 1.771E+04
3.055E-01 0.6113  0.5801 8.125E-22 1.757E+04
3.073E-01 0.6129  0.5803 8.088E-22 1.741E+04
3.090E-01 0.6145  0.5808 8.049E-22 1.726E+04
3.108E-01 0.6162  0.5814 8.011E-22 1.710E+04
3.126E-01 0.6179  0.5822 7.973E-22 1.694E+04
3.144E-01 0.6197  0.5831 7.938E-22 1.679E+04
3.162E-01 0.6214  0.5840 7.907E-22 1.665E+04
3.181E-01 0.6231  0.5849 7.880E-22 1.652E+04
3.199E-01 0.6248  0.5856 7.855E-22 1.639E+04
3.217E-01 0.6265  0.5861 7.830E-22 1.626E+04
3.236E-01 0.6282  0.5865 7.803E-22 1.614E+04
3.255E-01 0.6298  0.5868 7.775E-22 1.601E+04
3.273E-01 0.6315  0.5871 7.743E-22 1.587E+04
3.292E-01 0.6332  0.5876 7.709E-22 1.573E+04
3.311E-01 0.6349  0.5882 7.674E-22 1.558E+04
3.330E-01 0.6366  0.5889 7.639E-22 1.544E+04
3.350E-01 0.6384  0.5897 7.606E-22 1.530E+04
3.369E-01 0.6401  0.5906 7.576E-22 1.516E+04
3.388E-01 0.6419  0.5915 7.548E-22 1.503E+04
3.408E-01 0.6436  0.5923 7.523E-22 1.491E+04
3.428E-01 0.6453  0.5929 7.499E-22 1.479E+04
3.447E-01 0.6470  0.5934 7.475E-22 1.468E+04
3.467E-01 0.6486  0.5938 7.450E-22 1.456E+04
3.487E-01 0.6502  0.5942 7.423E-22 1.444E+04
3.508E-01 0.6519  0.5945 7.393E-22 1.431E+04
3.528E-01 0.6536  0.5950 7.362E-22 1.418E+04
3.548E-01 0.6552  0.5955 7.330E-22 1.405E+04
3.569E-01 0.6569  0.5961 7.298E-22 1.392E+04
3.589E-01 0.6586  0.5968 7.267E-22 1.380E+04
3.610E-01 0.6603  0.5975 7.238E-22 1.367E+04
3.631E-01 0.6620  0.5982 7.210E-22 1.355E+04
3.652E-01 0.6636  0.5989 7.185E-22 1.344E+04
3.673E-01 0.6653  0.5995 7.160E-22 1.333E+04
3.694E-01 0.6669  0.5999 7.135E-22 1.322E+04
3.715E-01 0.6685  0.6003 7.110E-22 1.311E+04
3.737E-01 0.6700  0.6006 7.083E-22 1.300E+04
3.758E-01 0.6716  0.6009 7.054E-22 1.288E+04
3.780E-01 0.6732  0.6013 7.024E-22 1.277E+04
3.802E-01 0.6747  0.6017 6.993E-22 1.265E+04
3.824E-01 0.6763  0.6021 6.962E-22 1.253E+04
3.846E-01 0.6779  0.6026 6.931E-22 1.242E+04
3.868E-01 0.6794  0.6031 6.902E-22 1.231E+04
3.890E-01 0.6809  0.6036 6.873E-22 1.220E+04
3.913E-01 0.6825  0.6041 6.846E-22 1.209E+04
3.936E-01 0.6840  0.6045 6.819E-22 1.199E+04
3.958E-01 0.6854  0.6049 6.793E-22 1.188E+04
3.981E-01 0.6869  0.6052 6.766E-22 1.178E+04
4.004E-01 0.6883  0.6054 6.738E-22 1.168E+04
4.027E-01 0.6897  0.6056 6.709E-22 1.158E+04
4.050E-01 0.6912  0.6058 6.679E-22 1.147E+04
4.074E-01 0.6926  0.6060 6.648E-22 1.137E+04
4.097E-01 0.6940  0.6063 6.617E-22 1.126E+04
4.121E-01 0.6954  0.6065 6.586E-22 1.116E+04
4.145E-01 0.6968  0.6068 6.555E-22 1.105E+04
4.169E-01 0.6981  0.6070 6.525E-22 1.095E+04
4.193E-01 0.6995  0.6073 6.495E-22 1.085E+04
4.217E-01 0.7009  0.6076 6.466E-22 1.076E+04
4.241E-01 0.7022  0.6078 6.437E-22 1.066E+04
4.266E-01 0.7035  0.6079 6.408E-22 1.057E+04
4.290E-01 0.7048  0.6080 6.378E-22 1.047E+04
4.315E-01 0.7060  0.6081 6.349E-22 1.038E+04
4.340E-01 0.7073  0.6081 6.318E-22 1.028E+04
4.365E-01 0.7085  0.6082 6.287E-22 1.019E+04
4.390E-01 0.7097  0.6082 6.255E-22 1.010E+04
4.416E-01 0.7109  0.6082 6.223E-22 1.000E+04
4.441E-01 0.7121  0.6082 6.191E-22 9.912E+03
4.467E-01 0.7133  0.6083 6.159E-22 9.821E+03
4.493E-01 0.7144  0.6083 6.127E-22 9.731E+03
4.519E-01 0.7155  0.6083 6.095E-22 9.642E+03
4.545E-01 0.7167  0.6084 6.064E-22 9.555E+03
4.571E-01 0.7178  0.6083 6.032E-22 9.469E+03
4.597E-01 0.7188  0.6083 6.001E-22 9.384E+03
4.624E-01 0.7199  0.6082 5.969E-22 9.299E+03
4.651E-01 0.7209  0.6081 5.938E-22 9.215E+03
4.677E-01 0.7219  0.6079 5.905E-22 9.131E+03
4.704E-01 0.7230  0.6077 5.872E-22 9.048E+03
4.732E-01 0.7239  0.6075 5.839E-22 8.965E+03
4.759E-01 0.7249  0.6073 5.806E-22 8.882E+03
4.786E-01 0.7259  0.6071 5.773E-22 8.800E+03
4.814E-01 0.7268  0.6069 5.739E-22 8.719E+03
4.842E-01 0.7278  0.6067 5.706E-22 8.639E+03
4.870E-01 0.7287  0.6064 5.673E-22 8.560E+03
